NAME10,tweets_per_capita
Orange,246.49262914
Tehama,4222.9330476
Colusa,
Santa Barbara,179.289682586
Mono,
Monterey,1594.96165587
Placer,206.640033062
Amador,1916.46320653
Calaveras,219.404098469
Imperial,3191.46497983
Siskiyou,1358.57461024
Sonoma,1430.11254903
Santa Clara,10962.3594415
Kern,55.976970836
Yolo,2439.64371244
Mendocino,3255.88278822
Sacramento,1547.09512626
Madera,1259.40410301
Yuba,983.992793292
Tulare,
San Diego,271.701117141
Plumas,2649.07282451
San Benito,2858.74540882
Shasta,1760.49384109
Stanislaus,2093.48570229
Mariposa,164.374554819
Fresno,446.020742651
Alpine,1702.12765957
Marin,3565.64147871
Glenn,10810.04196
Lassen,601.805416249
Del Norte,2761.27228242
Napa,3604.81814718
San Luis Obispo,1965.60561051
San Mateo,11609.6992001
Nevada,617.633955692
San Joaquin,1672.24568295
San Bernardino,1308.95583257
Sutter,5056.10268427
Riverside,1036.69962336
Trinity,435.224140432
Contra Costa,8104.66862086
Ventura,1274.11279724
Tuolumne,812.787862368
Butte,1904.54545455
Sierra,
Lake,1577.36024124
Modoc,
El Dorado,458.416639972
Los Angeles,401.8900852
Alameda,11286.0539599
Inyo,
San Francisco,21383.8196303
Santa Cruz,10271.2838533
Kings,45.7570171654
Humboldt,557.111340558
Solano,3732.96818147
Merced,4202.61695981
